gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,3/15/2022,0,1,0.988339637,0.892897868,0.770568967,0.618578673,0.417445801,0.271860312,1,1,2250,Gonzaga,96.46,West,1,0
mens,3/15/2022,0,1,0.968928817,0.785008297,0.508663897,0.331550597,0.18583001,0.089781985,1,1,2305,Kansas,91.27,Midwest,1,64
mens,3/15/2022,0,1,0.965720048,0.807825203,0.480448831,0.287843531,0.152336148,0.068506424,1,1,12,Arizona,90.92,South,1,96
mens,3/15/2022,0,1,0.96301402,0.697912844,0.342573296,0.13144164,0.049819325,0.024096291,1,1,239,Baylor,87.66,East,1,32
mens,3/15/2022,0,1,0.95486797,0.812271396,0.498653006,0.333221544,0.152430467,0.085167671,1,1,96,Kentucky,91.22,East,2,60
mens,3/15/2022,0,1,0.945098252,0.758446148,0.485510202,0.229130519,0.122915552,0.056760947,1,1,2,Auburn,89.48,Midwest,2,92
mens,3/15/2022,0,1,0.948320572,0.677927051,0.395635956,0.194291084,0.10350841,0.046873774,1,1,222,Villanova,90.22,South,2,124
mens,3/15/2022,0,1,0.970644764,0.708911488,0.375004459,0.108718808,0.057540506,0.029761827,1,1,150,Duke,89.28,West,2,28
mens,3/15/2022,0,1,0.939351259,0.620506332,0.300734729,0.182762339,0.073481908,0.037202974,1,1,2509,Purdue,89.1,East,3,52
mens,3/15/2022,0,1,0.941402379,0.641797739,0.337682081,0.158070492,0.082215332,0.036305143,1,1,2633,Tennessee,88.87,South,3,116
mens,3/15/2022,0,1,0.926978076,0.638795968,0.370020914,0.113662648,0.057778957,0.028793675,1,1,2641,Texas Tech,88.7,West,3,20
mens,3/15/2022,0,1,0.84888905,0.481604478,0.21615717,0.082319323,0.028882906,0.008785638,1,1,275,Wisconsin,84.66,Midwest,3,84
mens,3/15/2022,0,1,0.925615737,0.653924319,0.378881875,0.164720793,0.064925187,0.032370427,1,1,26,UCLA,89.83,East,4,44
mens,3/15/2022,0,1,0.806639407,0.412025852,0.169487888,0.081161893,0.037353191,0.01453684,1,1,356,Illinois,86.76,South,4,108
mens,3/15/2022,0,1,0.717856125,0.382436143,0.079885566,0.041783142,0.02074061,0.010112463,1,1,8,Arkansas,86.77,West,4,12
mens,3/15/2022,0,1,0.665544234,0.222246343,0.061315051,0.02344798,0.007301793,0.001981766,1,1,2507,Providence,82.72,Midwest,4,76
mens,3/15/2022,0,1,0.816344259,0.613861534,0.314340823,0.194366048,0.095514159,0.040361131,1,1,2294,Iowa,88.96,Midwest,5,72
mens,3/15/2022,0,1,0.768048297,0.454564518,0.250095002,0.151741948,0.082675997,0.038338216,1,1,248,Houston,88.72,South,5,104
mens,3/15/2022,0,1,0.862753432,0.485379027,0.082074256,0.037536078,0.01595695,0.006755093,1,1,41,Connecticut,86.37,West,5,8
mens,3/15/2022,0,1,0.606427713,0.216562176,0.088358843,0.026043342,0.007030694,0.002593823,1,1,2608,Saint Mary's (CA),84.34,East,5,40
mens,3/15/2022,0,1,0.671008514,0.352628479,0.157598434,0.059758109,0.028978319,0.012083598,1,1,99,Louisiana State,85.72,Midwest,6,80
mens,3/15/2022,0,1,0.5419295,0.207838461,0.082545628,0.043176535,0.016861286,0.008346685,1,1,251,Texas,86.32,East,6,48
mens,3/15/2022,0,1,0.62151555,0.234399953,0.107589339,0.024610997,0.0117312,0.005511338,1,1,333,Alabama,85.15,West,6,16
mens,3/15/2022,0,1,0.310088602,0.080358054,0.027073333,0.008193766,0.00268451,0.000743653,1,1,36,Colorado State,81.65,South,6,112
mens,3/15/2022,0,1,0.551158109,0.18084036,0.076045406,0.026476926,0.010611045,0.003590676,1,1,194,Ohio State,84.15,South,7,120
mens,3/15/2022,0,1,0.514157621,0.150212841,0.058051047,0.01168874,0.004527105,0.001761511,1,1,127,Michigan State,83.46,West,7,24
mens,3/15/2022,0,1,0.517958566,0.120156696,0.049792744,0.01421971,0.004673914,0.001335642,1,1,30,Southern California,83.02,Midwest,7,88
mens,3/15/2022,0,1,0.580126824,0.109517412,0.031927608,0.011894555,0.00292637,0.001000103,1,1,93,Murray State,81.35,East,7,56
mens,3/15/2022,0,1,0.579302447,0.184244138,0.087865982,0.032677246,0.009530799,0.003744594,1,1,153,North Carolina,83.99,East,8,36
mens,3/15/2022,0,1,0.55441182,0.122817636,0.045706622,0.017693748,0.006041646,0.001790534,1,1,21,San Diego State,83.49,Midwest,8,68
mens,3/15/2022,0,1,0.482523004,0.087303083,0.028848617,0.010117174,0.003545335,0.001049631,1,1,2550,Seton Hall,82.61,South,8,100
mens,3/15/2022,0,1,0.482763608,0.049709728,0.025169859,0.010901021,0.003319451,0.001039218,1,1,68,Boise State,82.49,West,8,4
mens,3/15/2022,0,1,0.517236392,0.055737086,0.029833987,0.013693274,0.006223369,0.002799414,1,1,235,Memphis,84.91,West,9,6
mens,3/15/2022,0,1,0.517476996,0.097580061,0.036748579,0.014520519,0.005091457,0.001508275,1,1,2628,Texas Christian,81.93,South,9,102
mens,3/15/2022,0,1,0.420697553,0.113026146,0.04322289,0.012740842,0.003135977,0.001072133,1,1,269,Marquette,81.9,East,9,38
mens,3/15/2022,0,1,0.44558818,0.086936441,0.032167761,0.01238535,0.003827569,0.001031318,1,1,156,Creighton,81.49,Midwest,9,70
mens,3/15/2022,0,1,0.448841891,0.132664708,0.055630248,0.019313764,0.007604728,0.002528254,1,1,2350,Loyola (IL),83.7,South,10,122
mens,3/15/2022,0,1,0.485842379,0.137707774,0.043739831,0.007134307,0.002494209,0.000884731,1,1,2166,Davidson,81.83,West,10,26
mens,3/15/2022,0,1,0.482041434,0.107425722,0.039004841,0.009690228,0.003029345,0.000825245,1,1,2390,Miami (FL),81.13,Midwest,10,90
mens,3/15/2022,0,1,0.419873176,0.065411014,0.017317999,0.005963341,0.001341991,0.00042574,1,1,2539,San Francisco,81.78,East,10,58
