name,round1,round2,round3,round4,round5,round6
Gonzaga,0.988339637,0.892897868,0.770568967,0.618578673,0.417466355,0.271870827
Kansas,0.972712074,0.787839351,0.510252343,0.332434485,0.18622712,0.089924229
Kentucky,0.95486797,0.812271396,0.498653006,0.333579673,0.152570733,0.085234949
Arizona,0.965720048,0.807825203,0.480448831,0.287843531,0.152316312,0.068498298
Auburn,0.945098252,0.758446148,0.485510202,0.229015665,0.12285945,0.056737433
Villanova,0.948320572,0.677927051,0.395635956,0.194291084,0.103495113,0.046868285
Iowa,0.816344259,0.613861534,0.313879849,0.194103501,0.095398612,0.040317877
Houston,0.768048297,0.454564518,0.250095002,0.151741948,0.082665864,0.038333925
Purdue,0.939351259,0.620506332,0.300734729,0.183006779,0.073566027,0.037239338
Tennessee,0.941402379,0.641797739,0.337682081,0.158070492,0.082204249,0.036300692
UCLA,0.925615737,0.656784861,0.380335874,0.165248182,0.065093914,0.03243883
Duke,0.970644764,0.708911488,0.375004459,0.108718808,0.057546005,0.029763853
Texas Tech,0.926978076,0.638795968,0.370020914,0.113662648,0.057784996,0.028795805
Baylor,0.96301402,0.697912844,0.344720808,0.132164612,0.050059054,0.02419883
Illinois,0.806639407,0.412025852,0.169487888,0.081161893,0.037346943,0.014534647
Louisiana State,0.671008514,0.352628479,0.157598434,0.059717118,0.028960028,0.012076593
Arkansas,0.717856125,0.382436143,0.079885566,0.041783142,0.02074289,0.010113247
Wisconsin,0.84888905,0.481604478,0.21615717,0.082263159,0.028865189,0.008780842
Texas,0.5419295,0.207838461,0.082545628,0.043252175,0.016887089,0.008357859
Connecticut,0.862753432,0.485379027,0.082074256,0.037536078,0.015959311,0.006755794
Alabama,0.62151555,0.234399953,0.107589339,0.024610997,0.011732601,0.005511801
Michigan,0.689911398,0.26802263,0.105688371,0.037225109,0.014926328,0.005054703
Virginia Tech,0.4580705,0.162353061,0.065764671,0.034986295,0.011104506,0.004669686
North Carolina,0.579302447,0.184244138,0.088440684,0.032865031,0.009577955,0.003760574
Ohio State,0.551158109,0.18084036,0.076045406,0.026476926,0.010608884,0.003590021
Memphis,0.517236392,0.055737086,0.029833987,0.013693274,0.006224185,0.002799671
Saint Mary's (CA),0.623514967,0.221724133,0.090122717,0.026457458,0.007115866,0.002617132
Loyola (IL),0.448841891,0.132664708,0.055630248,0.019313764,0.007603145,0.002527783
Providence,0.665544234,0.222246343,0.06110705,0.023373872,0.00728045,0.00197643
Indiana,0.300935656,0.087730818,0.042307065,0.014923619,0.004484281,0.001804673
San Diego State,0.55441182,0.121793887,0.045345611,0.017561279,0.005998869,0.001778556
Michigan State,0.514157621,0.150212841,0.058051047,0.01168874,0.004527887,0.001761725
Texas Christian,0.517476996,0.097580061,0.036748579,0.014520519,0.005090246,0.001507955
Southern California,0.517958566,0.120156696,0.049792744,0.014206593,0.00466994,0.001334602
